Date,Days Since Start,close,open,high,low,volume,dividend
2013-02-11,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-02-12,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-02-13,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-02-14,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-02-15,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-02-18,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-02-19,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-02-20,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-02-21,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-02-22,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-02-25,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-02-26,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-02-27,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-02-28,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-03-01,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-03-04,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-03-05,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-03-06,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-03-07,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-03-08,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-03-11,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-03-12,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-03-13,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-03-14,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-03-15,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-03-18,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-03-19,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-03-20,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-03-21,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-03-22,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-03-25,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-03-26,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-03-28,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-04-01,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-04-02,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-04-03,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-04-04,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-04-05,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-04-08,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-04-09,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-04-10,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-04-11,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-04-12,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-04-15,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-04-16,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-04-17,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-04-18,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-04-22,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-04-23,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-04-25,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-04-26,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-04-29,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-04-30,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-05-02,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-05-03,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-05-06,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-05-07,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-05-08,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-05-09,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-05-10,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-05-13,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-05-14,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-05-15,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-05-16,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-05-17,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-05-20,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-05-21,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-05-22,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-05-23,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-05-24,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-05-27,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-05-28,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-05-29,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-05-30,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-05-31,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-06-03,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-06-04,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-06-05,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-06-06,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-06-07,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-06-10,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-06-11,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-06-12,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-06-13,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-06-14,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-06-17,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-06-18,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-06-19,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-06-20,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-06-21,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-06-24,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-06-25,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-06-26,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-06-27,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-06-28,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-07-01,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-07-02,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-07-03,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-07-04,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-07-05,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-07-08,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-07-09,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-07-10,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-07-11,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-07-12,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-07-15,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-07-16,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-07-17,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-07-18,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-07-19,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-07-22,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-07-23,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-07-24,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-07-25,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-07-26,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-07-29,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-07-30,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-07-31,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-08-01,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-08-02,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-08-05,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-08-06,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-08-07,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-08-08,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-08-12,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-08-13,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-08-14,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-08-16,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-08-19,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-08-20,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-08-21,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-08-22,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-08-23,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-08-26,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-08-27,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-08-28,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-08-29,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-08-30,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-09-02,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-09-03,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-09-04,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-09-05,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-09-06,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-09-10,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-09-11,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-09-12,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-09-13,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-09-16,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-09-17,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-09-18,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-09-19,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-09-20,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-09-23,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-09-24,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-09-25,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-09-26,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-09-27,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-09-30,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-10-01,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-10-03,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-10-04,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-10-07,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-10-08,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-10-09,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-10-10,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-10-11,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-10-14,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-10-15,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-10-17,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-10-18,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-10-21,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-10-22,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-10-23,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-10-24,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-10-25,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-10-28,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-10-29,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-10-30,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-10-31,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
2013-11-01,2363.0,1130.05,1130.05,1130.05,1130.05,1000000.0,0.0
